variavel,bloco,hipotese,fonte,referencia,natureza,unidade,descricao,como_ler,formula,tipo,preenchimento,distintos
esc_pct_docentes_formacao_adequada,corpo docente e jornada,H10 corpo docente,"INEP, Indicadores Educacionais",2022,direta,"% de disciplinas, de 0 a 100",disciplinas dos anos iniciais dadas por professor com a formação adequada,"Grupo 1 do Indicador de Adequação da Formação Docente do INEP, nos anos iniciais. O INEP classifica cada par formado por professor e disciplina em cinco grupos; o grupo 1 reúne os casos em que o professor tem licenciatura, ou bacharelado com complementação pedagógica, na área da disciplina que leciona. Um valor de 80 significa que 80% das disciplinas dos anos iniciais da rede são dadas por professor com essa formação. Os grupos 2 a 5 reúnem formação em outra área, sem licenciatura ou sem curso superior.",,float64,100.0,789
esc_pct_docentes_baixa_regularidade,corpo docente e jornada,H10 corpo docente,"INEP, Indicadores Educacionais",2022,derivada,"% de professores, de 0 a 100",professores que permaneceram pouco tempo na mesma escola nos últimos anos,"Indicador de Regularidade do Docente do INEP, que observa a permanência de cada professor na mesma escola ao longo dos últimos anos e o classifica em quatro faixas: baixa, média-baixa, média-alta e alta. O campo soma as duas faixas inferiores: um valor de 40 significa que 40% dos professores da rede trocaram de escola com frequência ou chegaram há pouco. Refere-se a todas as etapas, e não só aos anos iniciais.",faixa baixa + faixa média-baixa do indicador de regularidade docente,float64,100.0,796
esc_pct_docentes_alto_esforco,corpo docente e jornada,H10 corpo docente,"INEP, Indicadores Educacionais",2022,derivada,"% de professores, de 0 a 100",professores dos anos iniciais nos dois níveis mais altos de esforço,"Indicador de Esforço Docente do INEP, nos anos iniciais. Ele combina o número de alunos, turnos, escolas e etapas atendidos por professor e o classifica em seis níveis, do menor (1) ao maior esforço (6). O campo soma os níveis 5 e 6: um valor de 10 significa que 10% dos professores da rede atendem muitos alunos, em mais de um turno e, em geral, em mais de uma escola ou etapa.",nível 5 + nível 6 do indicador de esforço docente,float64,100.0,339
esc_alunos_por_docente,corpo docente e jornada,H4 densidade da sala,"INEP, Censo Escolar",2023,derivada,alunos por professor,alunos dos anos iniciais por professor dos anos iniciais,"Matrículas dos anos iniciais divididas pelos professores dos anos iniciais, somando as escolas em atividade da rede. O professor que leciona em duas escolas é contado nas duas, o que puxa o valor para baixo onde isso é comum. Quanto maior, mais alunos por professor.",matrículas dos anos iniciais / docentes dos anos iniciais,float64,100.0,327
esc_horas_aula_diarias,corpo docente e jornada,H11 tempo na escola,"INEP, Indicadores Educacionais",2022,direta,horas por dia,média de horas-aula diárias nos anos iniciais,"Média de horas-aula diárias dos alunos dos anos iniciais na rede. O mínimo legal é de 4 horas, e 7 horas ou mais caracterizam o tempo integral. Um valor de 4,5 indica rede quase toda em turno parcial.",,float64,100.0,73
mun_pib_per_capita,socioeconômico,H9 recursos materiais,"IBGE, PIB municipal",2021,derivada,"R$ por habitante, valores de 2021",riqueza produzida por habitante,"PIB do município dividido pela população. Mede a riqueza produzida no território, e não a renda das famílias: municípios pequenos com mineração, petróleo ou grande indústria têm PIB per capita alto sem que a população seja rica.",PIB / população,float64,100.0,5186
mun_pct_agropecuaria,socioeconômico,H1 deslocamento e desgaste,"IBGE, PIB municipal",2021,proxy,"% do valor adicionado, de 0 a 100","peso da agropecuária, aproximação do caráter rural da economia",Parte do valor adicionado da economia do município que vem da agropecuária. Um valor de 40 significa que 40% do que o município produz vem do campo; valores altos indicam economia rural.,valor adicionado agropecuário / valor adicionado total,float64,100.0,745
mun_pct_servicos,socioeconômico,H1 deslocamento e desgaste,"IBGE, PIB municipal",2021,proxy,"% do valor adicionado, de 0 a 100","peso dos serviços, aproximação do caráter urbano da economia","Parte do valor adicionado que vem dos serviços, sem contar a administração pública. Valores altos indicam economia urbana.",valor adicionado de serviços / valor adicionado total,float64,100.0,651
mun_populacao,socioeconômico,controle de escala,"IBGE, estimativa populacional",2021,direta,habitantes,população do município,População estimada pelo IBGE para 2021.,,Int64,100.0,5064
mun_idhm,socioeconômico,H9 recursos materiais,"PNUD, Atlas do Desenvolvimento Humano",2010,direta,índice de 0 a 1,índice de desenvolvimento humano municipal,"Índice de Desenvolvimento Humano Municipal de 2010, que combina longevidade, educação e renda. Faixas do PNUD: até 0,499 muito baixo; 0,500 a 0,599 baixo; 0,600 a 0,699 médio; 0,700 a 0,799 alto; 0,800 ou mais muito alto.",,float64,100.0,349
mun_idhm_educacao,socioeconômico,H6 capital cultural,"PNUD, Atlas do Desenvolvimento Humano",2010,direta,índice de 0 a 1,dimensão educação do IDHM,"Dimensão educação do IDHM de 2010, que combina a escolaridade dos adultos (peso 1) e o fluxo escolar de crianças e jovens (peso 2). Mesmas faixas do IDHM.",,float64,100.0,464
mun_idhm_renda,socioeconômico,H9 recursos materiais,"PNUD, Atlas do Desenvolvimento Humano",2010,direta,índice de 0 a 1,dimensão renda do IDHM,"Dimensão renda do IDHM de 2010, calculada a partir da renda por pessoa em escala logarítmica: o mesmo ganho de renda pesa mais nos municípios pobres.",,float64,100.0,386
mun_renda_per_capita,socioeconômico,H9 recursos materiais,"PNUD, Atlas do Desenvolvimento Humano",2010,direta,"R$ por mês, valores de 2010",renda domiciliar por habitante,"Renda média mensal por pessoa nos domicílios do município. Ao contrário do PIB per capita, mede o que as famílias efetivamente recebem.",,float64,100.0,5303
mun_gini,socioeconômico,H7 vulnerabilidade e violencia,"PNUD, Atlas do Desenvolvimento Humano",2010,direta,índice de 0 a 1,desigualdade na distribuição da renda,"Desigualdade da renda entre as pessoas do município, em 2010: 0 seria todos com a mesma renda e 1, toda a renda concentrada em uma pessoa. Quanto maior, mais desigual.",,float64,100.0,50
mun_alfabetizacao_adulta,socioeconômico,H6 capital cultural,"IBGE, Censo Demográfico",2022,proxy,% das pessoas de 15 anos ou mais,"alfabetização entre pessoas de 15 anos ou mais, aproximação do capital cultural do domicílio","Percentual das pessoas de 15 anos ou mais que sabem ler e escrever um bilhete simples, critério do Censo de 2022. Aproxima a presença de adultos leitores no domicílio da criança.",,float64,100.0,318
mun_densidade_demografica,socioeconômico,H1 deslocamento e desgaste,"IBGE, Censo Demográfico",2022,derivada,habitantes por km²,habitantes por quilômetro quadrado,"População de 2022 dividida pela área do município. Valores baixos indicam população dispersa e, portanto, distâncias maiores até a escola. A distribuição é muito assimétrica: capitais passam de mil habitantes por km², e municípios da Amazônia ficam abaixo de um.",população / área,float64,100.0,1545
mun_pessoas_por_domicilio,socioeconômico,H6 capital cultural,"IBGE, Censo Demográfico",2022,derivada,pessoas por domicílio,tamanho médio do domicílio,"População dividida pelo número de domicílios, em 2022. Valores maiores indicam famílias maiores, que repartem o tempo e a renda dos adultos entre mais pessoas.",população / domicílios,float64,100.0,218
mun_idade_mediana,socioeconômico,H9 recursos materiais,"IBGE, Censo Demográfico",2022,direta,anos,idade mediana da população,"Idade que divide a população do município ao meio, em 2022. Valores baixos indicam população jovem, com mais crianças por adulto; valores altos, população envelhecida.",,float64,100.0,35
mun_pct_esgoto_adequado,socioeconômico,H7 vulnerabilidade e violencia,"IBGE, Censo Demográfico",2022,direta,"% da população, de 0 a 100",população em domicílio com esgotamento por rede ou fossa ligada à rede,"Percentual dos moradores cujo domicílio despeja o esgoto na rede geral, na rede pluvial ou em fossa ligada à rede, em 2022. O restante usa fossa não ligada à rede, vala, rio ou não tem banheiro.",,float64,99.9,986
mun_pct_agua_rede_geral,socioeconômico,H7 vulnerabilidade e violencia,"IBGE, Censo Demográfico",2022,direta,"% da população, de 0 a 100",população em domicílio ligado à rede geral de água e que a usa como forma principal,"Percentual dos moradores cujo domicílio está ligado à rede geral de água e a usa como forma principal de abastecimento, em 2022.",,float64,100.0,841
mun_expectativa_estudo,socioeconômico,H6 capital cultural,"PNUD, Atlas do Desenvolvimento Humano",2010,direta,anos,expectativa de anos de estudo,"Anos de estudo que uma criança que entra na escola deve completar até os 18 anos, se os padrões de 2010 se mantiverem. Resume a capacidade do sistema escolar do município de manter os alunos estudando.",,float64,100.0,576
mun_ivs,socioeconômico,H7 vulnerabilidade e violencia,"IPEA, Atlas da Violência",2010,direta,índice de 0 a 1,índice de vulnerabilidade social,"Índice de Vulnerabilidade Social do IPEA, de 2010, média de três dimensões: infraestrutura urbana, capital humano e renda e trabalho. Quanto maior, mais vulnerável. Faixas do IPEA: até 0,200 muito baixa; 0,201 a 0,300 baixa; 0,301 a 0,400 média; 0,401 a 0,500 alta; acima de 0,500 muito alta.",,float64,100.0,4772
mun_ivs_infraestrutura,socioeconômico,H7 vulnerabilidade e violencia,"IPEA, Atlas da Violência",2010,direta,índice de 0 a 1,vulnerabilidade de infraestrutura urbana,"Dimensão de infraestrutura urbana do IVS: saneamento, coleta de lixo e tempo de deslocamento até o trabalho da população pobre. Quanto maior, pior.",,float64,100.0,5173
mun_ivs_capital_humano,socioeconômico,H7 vulnerabilidade e violencia,"IPEA, Atlas da Violência",2010,direta,índice de 0 a 1,vulnerabilidade de capital humano,"Dimensão de capital humano do IVS: mortalidade infantil, crianças fora da escola, maternidade na adolescência, analfabetismo e baixa escolaridade dos adultos do domicílio. Quanto maior, pior.",,float64,100.0,5161
mun_taxa_homicidio,socioeconômico,H7 vulnerabilidade e violencia,"DataSUS, Sistema de Informação sobre Mortalidade",2019,proxy,óbitos por 100 mil habitantes,"óbitos por agressão por cem mil habitantes, aproximação da exposição à violência","Óbitos por agressão (códigos X85 a Y09 da classificação internacional de doenças) registrados em 2019, por cem mil habitantes. Em município pequeno, um único óbito produz taxa alta, então o valor oscila muito. Município sem registro recebe zero.",óbitos CID X85 a Y09 * 100000 / população,Float64,100.0,733
esc_inse_medio,socioeconômico,H9 recursos materiais,"INEP, Indicador de Nível Socioeconômico",2021,direta,"escala do INEP, valores entre 3,4 e 6,1 na base",nível socioeconômico médio das famílias atendidas pela rede,"Indicador de Nível Socioeconômico médio dos alunos da rede no município, calculado pelo INEP em 2021 com o questionário do SAEB, que pergunta sobre a escolaridade dos pais, a renda e os bens do domicílio. Quanto maior, melhor a condição das famílias. É a única medida socioeconômica no grão da rede: descreve as famílias que a rede atende, e não o município. Zero na fonte foi tratado como ausente.",,float64,99.5,237
mun_pct_vulner_deslocamento_1h,socioeconômico,H1 deslocamento e desgaste,"PNUD, Atlas do Desenvolvimento Humano",2010,proxy,"% de pessoas, de 0 a 100","pessoas pobres que gastam mais de uma hora até o trabalho, aproximação das distâncias no território","Pessoas ocupadas em domicílio vulnerável à pobreza (renda por pessoa abaixo de meio salário mínimo de 2010) que gastam mais de uma hora no trajeto até o trabalho, segundo o Atlas do Desenvolvimento Humano. Descreve adultos, e não crianças: entra como aproximação das distâncias e da precariedade do transporte no território. É um dos componentes de mun_ivs_infraestrutura.",,float64,100.0,624
mun_pct_maes_8_anos_estudo,primeira infância,H6 capital cultural,"Ministério da Saúde, SINASC",nascidos em 2016 e 2017,derivada,"% dos nascidos vivos, de 0 a 100",nascidos vivos cuja mãe tinha 8 anos de estudo ou mais,"Entre os nascidos de 2016 e 2017 de mães residentes no município, percentual cuja mãe tinha 8 anos de estudo ou mais no parto, isto é, ao menos o ensino fundamental completo. É a geração que chega ao 2º ano em 2024. Nascimentos com escolaridade ignorada ficam fora do denominador.",mães com 8 anos de estudo ou mais / mães com escolaridade informada,float64,100.0,571
mun_pct_maes_adolescentes,primeira infância,H12 primeira infancia,"Ministério da Saúde, SINASC",nascidos em 2016 e 2017,derivada,"% dos nascidos vivos, de 0 a 100",nascidos vivos de mãe com menos de 20 anos,"Entre os nascidos de 2016 e 2017 de mães residentes no município, percentual cuja mãe tinha de 10 a 19 anos no parto. Um valor de 20 significa que 1 em cada 5 crianças da coorte avaliada nasceu de mãe adolescente.",mães de 10 a 19 anos / mães de 10 a 60 anos,float64,100.0,349
mun_indice_pre_escola,primeira infância,H12 primeira infancia,"INEP, Censo Escolar",2022,derivada,"índice, 1 indica equilíbrio","oferta de pré-escola diante dos anos iniciais, todas as redes do município","Matrículas na pré-escola por ano de idade divididas pelas matrículas dos anos iniciais por série, somando todas as redes do município em 2022. A pré-escola dura dois anos e os anos iniciais, cinco; dividir cada um pela sua duração torna os dois comparáveis. Valor 1 indica tantas crianças em cada ano da pré-escola quanto em cada série dos anos iniciais; abaixo de 1, que parte das crianças não passou pela pré-escola no município.",(matrículas da pré-escola / 2) / (matrículas dos anos iniciais / 5),float64,100.0,114
